City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
349,las juntas,24,CR,1554478687,58,10.28,-84.96,83.96,11.99
350,dickinson,75,US,1554478697,50,46.88,-102.79,54.0,3.6
351,loandjili,40,CG,1554476400,79,-4.77,11.87,84.2,8.05
352,santiago del estero,24,AR,1554478843,59,-27.8,-64.26,70.91,11.43
353,iglesias,40,ES,1554478762,80,42.3,-3.99,46.0,8.05
354,arinos,0,BR,1554478843,81,-15.92,-46.11,81.89,7.74
355,kambove,36,CD,1554478843,71,-10.88,26.6,74.33,3.49
356,boddam,0,GB,1554478803,76,57.47,-1.78,51.01,10.29
357,tual,76,ID,1554478844,100,-5.67,132.75,83.24,5.39
358,jacareacanga,80,BR,1554478844,85,-6.22,-57.76,82.52,2.93
359,maravilha,90,BR,1554476400,100,-26.76,-53.17,71.6,4.7
360,upata,20,VE,1554478259,60,8.02,-62.41,87.01,5.01
361,domna,68,RU,1554476400,46,51.9,113.16,28.4,4.47
362,yenagoa,64,NG,1554478845,82,4.92,6.26,85.94,7.63
363,shenxian,0,CN,1554478845,50,36.24,115.67,66.05,15.57
364,morris,90,US,1554478847,93,41.36,-88.42,46.99,4.72
365,kulhudhuffushi,0,MV,1554478847,100,6.62,73.07,85.58,4.38
366,aykhal,88,RU,1554478847,82,65.95,111.51,20.06,3.15
367,clarksburg,90,US,1554478840,66,39.28,-80.34,59.0,13.87
368,beyneu,0,KZ,1554478847,56,45.32,55.19,52.19,5.73
369,jinka,44,ET,1554478848,40,5.79,36.57,82.34,1.7
370,kahului,1,US,1554478772,77,20.89,-156.47,68.0,4.7
371,ulladulla,24,AU,1554478333,100,-35.36,150.48,59.0,5.82
372,yeppoon,56,AU,1554476400,68,-23.13,150.74,71.6,9.17
373,zhigansk,12,RU,1554478848,69,66.77,123.37,21.77,6.17
374,codrington,75,AU,1554478686,93,-28.95,153.24,64.4,1.12
375,madang,64,PG,1554478849,97,-5.21,145.81,77.75,2.82
376,morondava,8,MG,1554478849,70,-20.3,44.28,87.74,7.29
377,little current,90,CA,1554478375,64,45.98,-81.93,36.0,8.05
378,mandalgovi,8,MN,1554478849,64,45.76,106.27,34.19,10.98
379,takhtamygda,80,RU,1554478849,57,54.1,123.57,30.05,5.28
380,margate,75,AU,1554478816,72,-43.03,147.26,62.6,5.82
381,lensk,20,RU,1554478850,76,60.71,114.91,19.79,4.5
